PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-80	-70	-30	-20	143	-74.3	2.884	-25.4	2.835	1.334	0.014	1.456	0.013	1.529	0.017	1.523	0.014	1.235	0.015	120.614	1.811	110.534	1.91	112.564	1.238	110.119	2.306	119.32	1.266	117.21	1.603	121.998	1.325	180.5	7.346	3	-80	-30	10	10	-8	-3	
-80	-70	-40	-30	177	-73.1	2.497	-35.2	2.797	1.334	0.014	1.459	0.013	1.528	0.015	1.523	0.014	1.235	0.013	120.475	1.902	110.333	1.524	112.006	1.38	110.93	2.069	119.971	1.205	117.193	1.791	121.923	1.423	179.2	6.638	2	-80	-40	10	10	-8	-4	
-80	-70	-20	-10	170	-74.8	2.937	-14.6	2.789	1.335	0.014	1.458	0.013	1.531	0.016	1.523	0.014	1.236	0.013	121.279	1.88	110.469	1.845	113.07	1.116	110.161	2.059	119.217	1.417	117.307	1.72	122.081	1.125	179.5	5.943	3	-80	-20	10	10	-8	-2	
-80	-70	160	170	58	-74.7	2.825	164.8	2.841	1.331	0.012	1.453	0.016	1.528	0.021	1.528	0.013	1.235	0.014	121.052	2.15	110.709	1.523	110.326	1.049	109.712	2.357	122.167	1.486	116.834	1.539	122.493	1.091	178.2	6.316	0	-80	160	10	10	-8	16	
-80	-70	-50	-40	109	-73.6	2.725	-43.7	2.686	1.333	0.016	1.457	0.012	1.533	0.019	1.523	0.014	1.233	0.011	121.091	1.648	110.418	1.378	111.44	1.23	110.82	1.602	120.423	1.118	117.166	1.553	122.145	1.116	182.9	6.867	1	-80	-50	10	10	-8	-5	
-80	-70	-10	0	114	-75	2.816	-6.7	2.502	1.333	0.013	1.459	0.012	1.529	0.019	1.521	0.014	1.236	0.013	121.533	2.643	110.539	2.13	113.236	1.213	110.054	2.084	118.689	1.203	117.219	2.041	122.455	1.68	177.5	5.601	3	-80	-10	10	10	-8	-1	
-80	-70	-60	-50	24	-74.6	3.315	-54	2.668	1.337	0.01	1.464	0.009	1.533	0.011	1.522	0.014	1.238	0.009	120.796	1.342	110.421	1.433	110.958	1.197	110.975	2.386	121.325	1.23	117.329	1.267	122.079	1.098	183.6	5.984	1	-80	-60	10	10	-8	-6	
-80	-70	140	150	109	-74.7	2.954	144.8	2.916	1.328	0.013	1.454	0.014	1.527	0.015	1.522	0.012	1.233	0.013	121.017	1.495	110.138	1.707	110.756	1.521	109.43	1.703	121.339	1.154	117.051	1.718	122.279	1.253	174.8	7.485	1	-80	140	10	10	-8	14	
-80	-70	130	140	131	-74.6	3.179	135.1	2.8	1.329	0.013	1.456	0.011	1.518	0.134	1.523	0.014	1.235	0.013	121.205	1.315	109.153	9.724	110.029	1.394	109.086	9.791	120.74	1.136	116.956	1.584	122.263	1.088	176.9	5.555	0	-80	130	10	10	-8	13	
-80	-70	-180	-170	10	-76.4	2.272	-174.7	2.908	1.321	0.01	1.462	0.01	1.528	0.011	1.524	0.018	1.234	0.007	122.69	1.305	110.26	1.917	109.57	1.801	113.7	0.803	122.52	0.83	116.48	1.826	123.31	1.199	184.6	2.465	-0	-80	-180	10	10	-8	-18	
-80	-70	120	130	88	-75.2	2.907	125.1	2.802	1.331	0.018	1.458	0.012	1.526	0.014	1.524	0.014	1.236	0.011	121.131	1.921	109.938	1.422	109.38	1.415	110.411	1.427	120.542	1.245	116.65	1.861	122.509	1.081	181	6.116	-1	-80	120	10	10	-8	12	
-80	-70	170	180	22	-74.5	2.803	173.7	2.574	1.336	0.01	1.452	0.014	1.528	0.014	1.526	0.017	1.24	0.014	121.295	1.466	110.191	1.288	110.382	1.458	111.582	2.155	122.023	0.931	115.882	1.337	122.868	0.851	182.4	7.27	0	-80	170	10	10	-8	17	
-80	-70	150	160	69	-74.6	2.894	154.8	2.889	1.332	0.014	1.451	0.013	1.532	0.016	1.527	0.014	1.233	0.014	121.164	1.902	110.254	1.732	110.825	1.411	109.726	2.391	121.897	1.039	117.13	1.996	122.214	1.342	175.6	6.823	1	-80	150	10	10	-8	15	
-80	-70	110	120	38	-76.3	2.69	115.6	2.888	1.334	0.015	1.461	0.013	1.528	0.014	1.526	0.012	1.235	0.011	121.774	1.86	110.253	1.431	108.716	1.392	111.05	1.303	120.626	1.195	117.389	2.297	122.034	1.901	183.5	5.505	-1	-80	110	10	10	-8	11	
-80	-70	100	110	19	-76.3	2.706	105.4	3.038	1.325	0.017	1.463	0.015	1.525	0.011	1.523	0.012	1.231	0.011	122.132	1.903	109.942	2.294	108.926	1.61	110.626	1.255	120.637	1.536	116.9	1.671	122.668	1.043	185.3	4.04	-1	-80	100	10	10	-8	10	
-80	-70	70	80	6	-77.8	3.021	76.1	2.692	1.337	0.014	1.463	0.01	1.519	0.016	1.532	0.008	1.235	0.008	122.083	1.439	110.35	1.821	108.467	0.885	110.65	1.82	122.917	1.788	116.017	2.327	122.517	0.87	184.7	4.61	-2	-80	70	10	10	-8	7	
-80	-70	0	10	14	-75.9	2.502	2.9	2.355	1.339	0.023	1.46	0.016	1.526	0.012	1.527	0.013	1.231	0.013	121.371	1.81	110.871	0.515	113.343	1.385	110.964	1.959	119.264	1.811	116.807	1.461	122.4	1.415	173	6.428	3	-80	0	10	10	-8	0	
-80	-70	-70	-60	5	-74.7	2.257	-61.6	1.136	1.33	0.009	1.463	0.01	1.533	0.011	1.526	0.007	1.231	0.01	119.88	0.996	109.94	1.629	111	1.53	111.7	1.451	120.96	0.767	117.74	2.243	122.18	1.066	187.4	9.208	1	-80	-70	10	10	-8	-7	
-80	-70	80	90	4	-76.2	2.825	83.9	3.015	1.331	0.009	1.463	0.01	1.527	0.024	1.523	0.011	1.236	0.011	121.95	1.396	111.25	1.353	108.625	2.51	110.7	1.92	121.875	0.834	117.55	0.58	123.625	1.056	187.6	3.288	-1	-80	80	10	10	-8	8	
-80	-70	90	100	7	-76.7	2.762	95.3	3.534	1.33	0.024	1.462	0.008	1.528	0.008	1.527	0.017	1.232	0.015	122.957	1.97	109.943	2.016	107.729	2.184	111.414	1.727	121.571	0.767	117.071	1.842	122.557	1.418	186.8	7.407	-2	-80	90	10	10	-8	9	
-80	-70	-170	-160	1	-74.2	0	-165.9	0	1.331	0	1.451	0	1.508	0	1.535	0	1.244	0	122.2	0	111.5	0	107.9	0	115.9	0	121.3	0	114.9	0	123.4	0	192.6	0	-2	-80	-170	10	10	-8	-17	
-80	-70	50	60	1	-76.8	0	59.7	0	1.338	0	1.464	0	1.539	0	1.544	0	1.242	0	122.8	0	109.3	0	112.5	0	110.9	0	121.9	0	117.2	0	122	0	178.9	0	3	-80	50	10	10	-8	5	
-80	-70	60	70	2	-79.4	0.318	67.7	2.051	1.351	0.008	1.452	0.016	1.523	0.006	1.533	0.015	1.236	0.008	122.2	4.243	112.9	5.374	112.85	2.758	109.4	1.697	121.75	1.768	117.25	1.061	122.65	0.212	175.4	8.803	3	-80	60	10	10	-8	6	
-60	-50	-40	-30	306	-57.3	2.042	-35.9	2.747	1.336	0.013	1.458	0.013	1.532	0.016	1.521	0.013	1.236	0.013	120.384	1.518	110.258	1.484	112.011	1.363	110.329	1.66	120.246	1.216	117.184	1.61	121.994	1.207	180.9	3.594	2	-60	-40	10	10	-6	-4	
-60	-50	-60	-50	99	-56.2	2.506	-52.1	1.733	1.333	0.011	1.46	0.011	1.53	0.016	1.525	0.011	1.235	0.011	121.225	1.207	109.81	1.327	110.587	1.161	111.521	1.38	121.363	0.966	117.052	1.355	122.243	1.105	183.3	3.004	1	-60	-60	10	10	-6	-6	
-60	-50	-50	-40	822	-57.5	2.084	-44.9	2.682	1.335	0.012	1.46	0.012	1.532	0.015	1.523	0.014	1.236	0.012	120.462	1.335	110.021	1.457	110.918	1.091	110.863	1.65	121.03	1.074	117.303	1.376	122.027	1.101	181.2	2.913	1	-60	-50	10	10	-6	-5	
-60	-50	-30	-20	80	-58	1.714	-26.2	2.921	1.338	0.013	1.456	0.012	1.536	0.019	1.521	0.015	1.235	0.012	120.945	1.517	109.924	2.042	112.425	1.02	109.895	2.415	119.593	1.011	117.38	1.607	122.036	1.181	180.5	3.397	2	-60	-30	10	10	-6	-3	
-60	-50	130	140	130	-55.3	2.623	134.7	2.87	1.333	0.012	1.456	0.013	1.531	0.014	1.523	0.013	1.233	0.012	120.849	1.468	109.544	1.539	110.198	1.65	110.065	1.744	121.117	1.197	116.689	1.832	122.291	1.442	178	5.538	0	-60	130	10	10	-6	13	
-60	-50	140	150	78	-56.3	2.835	144.1	2.599	1.332	0.015	1.456	0.013	1.531	0.018	1.523	0.011	1.236	0.012	120.662	1.445	109.995	1.91	110.164	1.226	109.618	1.638	121.437	1.27	116.8	2.119	122.106	1.322	177.7	6.61	0	-60	140	10	10	-6	14	
-60	-50	150	160	18	-58.2	1.695	153.8	2.45	1.33	0.014	1.454	0.013	1.531	0.014	1.52	0.011	1.236	0.017	120.811	1.347	109.922	1.836	109.989	1.013	109.983	2.756	122.083	0.965	115.75	1.558	122.789	1.287	180.1	7.246	-0	-60	150	10	10	-6	15	
-60	-50	110	120	3	-58.6	1.168	118.4	1.437	1.34	0.019	1.458	0.004	1.526	0.02	1.511	0.031	1.235	0.006	121.533	1.95	109.133	2.829	109.567	1.909	111.1	1.4	120.567	0.902	117.133	0.577	121.667	1.75	187.4	5.696	-0	-60	110	10	10	-6	11	
-60	-50	120	130	24	-55.5	2.698	126.9	2.329	1.328	0.017	1.46	0.013	1.528	0.019	1.518	0.013	1.235	0.016	121.208	1.763	109.354	1.76	110.533	1.682	110.392	1.71	120.45	1.003	116.975	1.848	122.354	0.966	179.8	5.615	1	-60	120	10	10	-6	12	
-60	-50	-20	-10	5	-59.2	0.609	-17.1	2.441	1.328	0.017	1.46	0.015	1.536	0.019	1.528	0.007	1.243	0.022	123.26	3.183	110.88	3.693	112.58	1.277	111.06	1.104	118.98	1.173	117.74	3.054	123	2.223	178.3	4.443	3	-60	-20	10	10	-6	-2	
-60	-50	170	180	1	-58.4	0	171.7	0	1.347	0	1.421	0	1.515	0	1.568	0	1.176	0	120.1	0	110.2	0	108.9	0	112.4	0	124.4	0	116.3	0	124.2	0	188	0	-1	-60	170	10	10	-6	17	
-60	-50	160	170	1	-58.6	0	161.9	0	1.342	0	1.46	0	1.532	0	1.502	0	1.229	0	120.5	0	110.3	0	111.7	0	112.4	0	123.7	0	115.6	0	124	0	170.6	0	2	-60	160	10	10	-6	16	
-70	-60	-40	-30	915	-64.5	2.622	-36.4	2.695	1.335	0.013	1.459	0.012	1.528	0.016	1.523	0.013	1.237	0.012	119.993	1.446	110.295	1.54	111.497	1.033	111.046	1.821	120.151	1.085	117.251	1.338	121.891	1.064	178.4	3.703	1	-70	-40	10	10	-7	-4	
-70	-60	-50	-40	1480	-63.7	2.457	-44	2.537	1.334	0.014	1.46	0.012	1.53	0.016	1.524	0.012	1.237	0.011	120.362	1.276	110.106	1.443	110.958	1.037	111.145	1.528	120.795	1.03	117.239	1.285	122.059	1.001	179.6	3.406	1	-70	-50	10	10	-7	-5	
-70	-60	-30	-20	341	-64.9	2.68	-25.3	2.999	1.334	0.014	1.458	0.014	1.53	0.019	1.522	0.015	1.236	0.013	120.581	1.603	110.482	1.643	112.387	1.223	110.288	2.224	119.353	1.216	117.142	1.776	122.025	1.239	179.5	4.617	2	-70	-30	10	10	-7	-3	
