PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-70	-60	-20	-10	21	-65.9	2.566	-15.9	2.301	1.333	0.01	1.453	0.014	0	0	1.515	0.017	1.236	0.007	121.167	2.151	0	0	114.376	1.054	0	0	119.019	1.023	117.038	1.407	121.881	1.252	177	3.08	4	-70	-20	10	10	-7	-2	
-70	-60	-50	-40	56	-63.8	2.425	-42.8	2.219	1.334	0.011	1.455	0.013	0	0	1.516	0.01	1.234	0.014	119.927	1.087	0	0	112.38	1.089	0	0	121.029	1.036	117.334	1.109	121.941	0.755	178.6	2.365	2	-70	-50	10	10	-7	-5	
-70	-60	-40	-30	56	-64	2.283	-36	2.833	1.334	0.014	1.453	0.012	0	0	1.518	0.012	1.234	0.011	120.089	1.269	0	0	112.855	1.352	0	0	120.491	0.968	117.187	1.297	121.955	1.123	177	2.662	3	-70	-40	10	10	-7	-4	
-70	-60	-30	-20	15	-65.4	2.644	-25.7	2.738	1.336	0.011	1.449	0.013	0	0	1.511	0.015	1.237	0.019	120.967	1.147	0	0	114.067	1.362	0	0	119.667	1.616	117.127	1.799	122.127	1.185	176.4	2.994	4	-70	-30	10	10	-7	-3	
-70	-60	140	150	8	-66.7	1.425	144.2	1.701	1.325	0.008	1.449	0.011	0	0	1.519	0.01	1.23	0.006	120.938	2.173	0	0	111.675	1.288	0	0	121.25	0.818	116.925	2.735	122.225	1.749	181	5.305	2	-70	140	10	10	-7	14	
-70	-60	-10	0	2	-65.5	3.861	-6.1	3.84	1.338	0.025	1.466	0.007	0	0	1.529	0	1.244	0.008	121	1.838	0	0	113.8	1.131	0	0	118.65	2.899	116.3	0.849	124.25	0.212	171	4.483	4	-70	-10	10	10	-7	-1	
-70	-60	170	180	3	-64.3	0.724	175.1	4.168	1.33	0.009	1.454	0.016	0	0	1.517	0.026	1.227	0.005	121.967	1.124	0	0	111.633	1.914	0	0	122.967	1.069	115.5	1.735	123	0.964	187.1	4.556	2	-70	170	10	10	-7	17	
-70	-60	130	140	3	-63.6	1.761	133.1	1.752	1.333	0.01	1.453	0.012	0	0	1.515	0.007	1.232	0.014	119.333	0.681	0	0	110.533	0.802	0	0	121.567	1.531	117.467	2.013	121.533	2.122	183.2	0.63	1	-70	130	10	10	-7	13	
-70	-60	160	170	8	-66.5	2.332	163.7	2.524	1.328	0.015	1.442	0.012	0	0	1.524	0.01	1.228	0.012	120.1	1.021	0	0	112.625	0.982	0	0	122.725	1.209	116.375	2.324	122.475	1.815	181.7	6.052	3	-70	160	10	10	-7	16	
-70	-60	120	130	2	-66.8	1.874	122.1	2.291	1.335	0.013	1.456	0.004	0	0	1.53	0.013	1.239	0.003	122	0.141	0	0	110.1	0.99	0	0	120.3	0.141	115.9	0.849	121.7	0	197.4	5.961	0	-70	120	10	10	-7	12	
-70	-60	110	120	1	-70	0	118.1	0	1.321	0	1.426	0	0	0	1.513	0	1.247	0	120.3	0	0	0	113.2	0	0	0	120.4	0	118.4	0	122.6	0	183.2	0	3	-70	110	10	10	-7	11	
-70	-60	-70	-60	1	-69.6	0	-60.4	0	1.342	0	1.467	0	0	0	1.539	0	1.245	0	118.8	0	0	0	112.3	0	0	0	120.6	0	116	0	122.2	0	181	0	2	-70	-70	10	10	-7	-7	
-70	-60	-60	-50	2	-63.4	3.825	-50.6	0.014	1.338	0.019	1.445	0.009	0	0	1.511	0	1.246	0.001	118.8	0.707	0	0	112.7	0.141	0	0	122.4	2.263	117.7	0.424	122.35	0.071	178.9	7.036	3	-70	-60	10	10	-7	-6	
-70	-60	150	160	4	-64.5	2.324	156.4	3.263	1.341	0.013	1.451	0.01	0	0	1.514	0.009	1.242	0.023	119.575	1.153	0	0	112.2	0.783	0	0	121.075	2.198	115.45	2.509	122.775	0.907	179.8	2.358	2	-70	150	10	10	-7	15	
-80	-70	-180	-170	9	-75	3.361	-177.3	2.064	1.33	0.007	1.44	0.014	0	0	1.524	0.017	1.23	0.01	121.8	0.775	0	0	112.278	1.706	0	0	122.378	1.318	116.567	1.308	122.5	1.22	184.6	8.634	2	-80	-180	10	10	-8	-18	
-80	-70	170	180	9	-75	3.045	173.7	2.469	1.329	0.018	1.439	0.018	0	0	1.515	0.016	1.237	0.013	121.744	2.103	0	0	111.856	2.021	0	0	122.378	1.57	116.911	1.27	121.733	1.584	180.7	8.041	2	-80	170	10	10	-8	17	
-80	-70	140	150	9	-73.9	1.86	145.9	2.567	1.329	0.014	1.445	0.01	0	0	1.517	0.014	1.229	0.008	120.944	1.838	0	0	112.356	1.702	0	0	121.689	0.927	116.722	1.429	122.044	0.78	178	4.312	2	-80	140	10	10	-8	14	
-80	-70	-20	-10	10	-74.3	3.56	-15	2.92	1.334	0.016	1.449	0.023	0	0	1.515	0.009	1.237	0.013	121.4	2.439	0	0	114.84	0.994	0	0	118.83	1.231	117.11	1.837	121.77	1.517	179.5	4.509	5	-80	-20	10	10	-8	-2	
-80	-70	120	130	1	-77.7	0	122.3	0	1.337	0	1.465	0	0	0	1.481	0	1.26	0	120.9	0	0	0	109.7	0	0	0	118.6	0	116.3	0	122.2	0	184.4	0	-0	-80	120	10	10	-8	12	
-80	-70	-170	-160	2	-76.6	3.903	-167.1	2.744	1.318	0.008	1.452	0.033	0	0	1.522	0.004	1.225	0.008	119.9	5.091	0	0	110.75	0.071	0	0	123.85	1.626	117.5	0	121.35	4.879	175.2	12.007	1	-80	-170	10	10	-8	-17	
-80	-70	40	50	1	-78	0	44.8	0	1.344	0	1.463	0	0	0	1.496	0	1.217	0	123.1	0	0	0	114.5	0	0	0	120.9	0	113.6	0	122.9	0	188.3	0	5	-80	40	10	10	-8	4	
-80	-70	160	170	10	-75.2	2.661	163.4	3.165	1.335	0.017	1.443	0.01	0	0	1.512	0.009	1.237	0.017	120.65	1.159	0	0	113.42	1.415	0	0	122.86	1.313	115.85	1.294	123.17	1.45	180	5.587	3	-80	160	10	10	-8	16	
-80	-70	-30	-20	8	-73.7	3.102	-25.9	3.434	1.335	0.013	1.453	0.015	0	0	1.509	0.012	1.232	0.011	120.038	0.875	0	0	114.888	1.363	0	0	120.075	1.096	117.063	1.014	122.3	0.868	181.2	5.661	5	-80	-30	10	10	-8	-3	
-80	-70	-50	-40	7	-72	2.632	-42.8	0.977	1.336	0.008	1.457	0.009	0	0	1.518	0.007	1.24	0.012	120.129	0.489	0	0	112.229	1.961	0	0	120.2	1.412	116.8	0.883	122.086	0.674	180.3	3.728	2	-80	-50	10	10	-8	-5	
-80	-70	150	160	13	-73.3	2.775	155.5	2.783	1.33	0.013	1.447	0.015	0	0	1.516	0.008	1.228	0.013	120.631	0.769	0	0	112.185	1.478	0	0	122.2	0.708	116.123	1.487	122.638	1.017	177.3	8.809	2	-80	150	10	10	-8	15	
-80	-70	-40	-30	4	-71.3	1.097	-34.5	2.943	1.333	0.016	1.451	0.008	0	0	1.512	0.026	1.232	0.017	119.975	1.362	0	0	114.8	2.162	0	0	119.9	1.16	116.35	1.287	121.7	0.983	180	5.935	5	-80	-40	10	10	-8	-4	
-80	-70	-10	0	4	-75.2	3.758	-3.6	3.426	1.32	0.029	1.451	0.017	0	0	1.507	0.022	1.231	0.012	121.225	3.116	0	0	116.25	0.733	0	0	118.55	0.866	117.55	0.705	122.95	1.678	176.2	4.58	6	-80	-10	10	10	-8	-1	
-80	-70	0	10	2	-77.8	2.065	3.7	3.557	1.353	0.018	1.432	0.02	0	0	1.51	0.001	1.225	0.001	122.55	3.748	0	0	115.65	1.061	0	0	120.2	1.414	119	0.566	120.4	1.131	178.5	1.648	6	-80	0	10	10	-8	0	
-80	-70	130	140	3	-76.1	2.769	136.6	3.479	1.336	0.013	1.455	0.012	0	0	1.524	0.028	1.24	0.009	120.3	2.252	0	0	111	2.066	0	0	121.133	1.29	116	1.015	122.367	1.286	181.2	2.927	1	-80	130	10	10	-8	13	
-80	-70	-160	-150	2	-78.3	0.658	-156.5	2.164	1.326	0.006	1.449	0.011	0	0	1.514	0.008	1.24	0.011	121.25	1.061	0	0	110.25	0.919	0	0	121.55	0.919	114.9	0.424	123.85	0.071	184.2	1.181	0	-80	-160	10	10	-8	-16	
-80	-70	90	100	1	-77.9	0	95.7	0	1.324	0	1.459	0	0	0	1.489	0	1.267	0	121.6	0	0	0	110.7	0	0	0	122.1	0	116.6	0	121.9	0	180	0	1	-80	90	10	10	-8	9	
-60	-50	-40	-30	15	-57	2.23	-35.6	3.002	1.331	0.022	1.449	0.018	0	0	1.513	0.013	1.233	0.01	119.947	1.157	0	0	113.147	1.134	0	0	120.513	0.796	117.12	1.494	122.047	0.976	179.1	3.035	3	-60	-40	10	10	-6	-4	
-60	-50	-60	-50	5	-54.5	3.997	-52	1.822	1.328	0.011	1.455	0.01	0	0	1.509	0.016	1.237	0.007	120.98	1.438	0	0	114	1.102	0	0	121.48	1.744	118.96	1.514	121.58	0.432	179.5	1.519	4	-60	-60	10	10	-6	-6	
-60	-50	-50	-40	24	-57	2.183	-43.5	2.155	1.335	0.011	1.452	0.014	0	0	1.513	0.01	1.233	0.011	120.333	1.215	0	0	113.029	1.579	0	0	120.954	0.981	117.229	1.195	121.983	0.755	179.3	3.72	3	-60	-50	10	10	-6	-5	
-60	-50	140	150	1	-59.7	0	145.3	0	1.321	0	1.449	0	0	0	1.508	0	1.237	0	118.9	0	0	0	110.7	0	0	0	120	0	116.3	0	121.9	0	174.4	0	1	-60	140	10	10	-6	14	
-60	-50	-30	-20	2	-55.8	3.578	-26	1.365	1.339	0.011	1.445	0.011	0	0	1.509	0.001	1.252	0.043	120.9	3.394	0	0	114.15	1.061	0	0	119.55	0.495	119.35	2.333	121.8	0.849	180.4	2.234	4	-60	-30	10	10	-6	-3	
-60	-50	130	140	2	-56.2	1.393	137.9	0.735	1.335	0.007	1.454	0.006	0	0	1.527	0.001	1.235	0.011	118.8	0.99	0	0	111.1	1.414	0	0	121.3	0.283	116.35	0.495	123	0.424	181.6	8.867	1	-60	130	10	10	-6	13	
90	100	-30	-20	4	95.3	0.887	-22.5	1.448	1.338	0.006	1.436	0.039	0	0	1.512	0.007	1.238	0.021	122.425	2.445	0	0	114.35	0.988	0	0	119.55	1.756	115.9	2.841	123.1	0.163	180.7	2.128	4	90	-30	10	10	9	-3	
90	100	150	160	4	92	1.317	155.8	4.246	1.329	0.013	1.458	0.006	0	0	1.518	0.013	1.225	0.014	122.175	1.193	0	0	111.375	0.881	0	0	121.875	0.759	117.725	0.922	122.35	1.923	183.4	5.569	1	90	150	10	10	9	15	
90	100	170	180	4	95.3	2.748	174.2	3.523	1.333	0.008	1.448	0.01	0	0	1.527	0.014	1.235	0.009	121.375	1.884	0	0	111.125	0.695	0	0	122.85	1.848	115.95	4.903	123.4	2.725	180.9	8.232	1	90	170	10	10	9	17	
90	100	-170	-160	5	94.6	3.399	-166.5	3.05	1.328	0.012	1.455	0.015	0	0	1.511	0.016	1.231	0.004	121.26	1.214	0	0	113.02	0.944	0	0	123.68	2.192	117.08	1.929	122.86	1.828	181.7	5.574	3	90	-170	10	10	9	-17	
90	100	0	10	22	93.8	2.665	5.2	2.912	1.329	0.016	1.441	0.014	0	0	1.504	0.015	1.236	0.015	122.032	1.354	0	0	116.041	1.416	0	0	119.223	0.889	117.355	1.411	122.573	1.308	179.3	4.305	6	90	0	10	10	9	0	
90	100	-10	0	36	94	2.774	-5.3	2.836	1.333	0.016	1.446	0.012	0	0	1.515	0.013	1.237	0.011	122.397	1.575	0	0	115.05	1.345	0	0	118.781	1.613	116.817	1.997	122.736	1.501	178.8	4.156	5	90	-10	10	10	9	-1	
