PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-140	-130	50	60	5	-132.5	2.557	53.9	2.931	1.344	0.018	1.459	0.027	1.536	0.017	1.526	0.012	1.231	0.01	122.22	1.327	111.34	2.292	110.98	1.399	111	1.741	121.86	1.115	116.72	1.974	122.84	1.571	186.7	4.917	1	-140	50	10	10	-14	5	
-140	-130	140	150	8	-135.3	3.731	146.1	1.784	1.339	0.01	1.459	0.013	1.542	0.016	1.522	0.009	1.237	0.006	123.075	1.514	111.263	1.386	109.438	1.361	108.025	1.44	120.437	0.947	116.413	1.416	122.887	0.895	176.1	7.836	-1	-140	140	10	10	-14	14	
-140	-130	130	140	4	-135.7	4.016	134	2.621	1.331	0.028	1.461	0.009	1.532	0.011	1.524	0.008	1.253	0.011	122.425	1.372	108.1	3.532	108	1.485	110.95	0.785	119.4	0.779	115.4	2.288	123.65	0.723	181	6.166	-2	-140	130	10	10	-14	13	
-140	-130	160	170	7	-133.9	3.408	164.5	2.084	1.326	0.008	1.457	0.005	1.317	0.581	1.519	0.009	1.233	0.007	123.5	1.542	95.014	41.961	108.843	2.152	94.314	41.61	120.9	1.088	116.6	1.655	122.943	1.422	178	7.086	-1	-140	160	10	10	-14	16	
-140	-130	70	80	14	-134	2.89	74.1	3.612	1.322	0.03	1.462	0.014	1.532	0.008	1.524	0.012	1.24	0.012	123.479	1.286	111.586	1.71	108.593	1.809	110.936	1.191	121.186	1.664	117.607	1.761	122.721	1.339	185.7	5.582	-1	-140	70	10	10	-14	7	
-140	-130	60	70	9	-136	2.561	65.6	3.516	1.331	0.016	1.466	0.006	1.528	0.011	1.525	0.012	1.233	0.011	122.7	1.462	110.622	1.005	108.789	1.973	112.267	1.157	121.267	1.095	116.511	2.09	123.2	0.971	187.6	6.843	-1	-140	60	10	10	-14	6	
-140	-130	120	130	2	-133.7	0.849	125	6.916	1.337	0.016	1.453	0.002	1.528	0.01	1.527	0.001	1.232	0.012	122.35	0.636	111.95	0.919	105.65	0.354	110.65	1.202	119.7	0	115.8	1.414	123.25	0.212	181.9	6.795	-4	-140	120	10	10	-14	12	
-140	-130	80	90	7	-135.1	3.507	85.2	3.984	1.336	0.01	1.457	0.012	1.53	0.014	1.516	0.011	1.233	0.008	122.571	1.629	111.457	0.916	109.871	3.024	110.614	1.016	121.943	0.802	115.971	1.014	123.414	0.626	178.9	8.032	-0	-140	80	10	10	-14	8	
-140	-130	150	160	9	-136.1	2.767	153.8	2.469	1.328	0.013	1.46	0.012	1.542	0.015	1.515	0.008	1.241	0.011	122.611	2.597	110.5	1.09	109.189	1.676	108.633	1.245	120.967	1.175	116.989	3.368	123.378	1.665	174.2	7.538	-1	-140	150	10	10	-14	15	
-140	-130	100	110	2	-135.9	1.464	103.3	4.144	1.327	0.001	1.456	0.008	1.526	0.001	1.523	0.001	1.249	0.006	123.4	0	109.6	0.849	110.15	1.909	112.1	0.283	119.55	0.354	115.65	0.071	123.6	0.707	174.5	12.127	0	-140	100	10	10	-14	10	
-140	-130	170	180	1	-132.5	0	171	0	1.344	0	1.469	0	1.545	0	1.521	0	1.23	0	122.8	0	108.6	0	109.5	0	111.3	0	122.4	0	116.3	0	122.4	0	183.9	0	-1	-140	170	10	10	-14	17	
-140	-130	110	120	1	-131.6	0	119.8	0	1.327	0	1.475	0	1.532	0	1.519	0	1.264	0	122.6	0	110.9	0	104.4	0	113.1	0	119.4	0	112.4	0	124.9	0	192.7	0	-6	-140	110	10	10	-14	11	
